experiment_id,m,n,key_order,reuse_enabled,phase,operation_count,btree_reads,btree_writes,btree_total,mainfile_reads,mainfile_writes,mainfile_total,total_reads,total_writes,total_accesses,avg_accesses_per_operation,elapsed_ms,avg_ms_per_operation,height,index_file_bytes,main_file_bytes,total_file_bytes,btree_max_nodes,mainfile_max_records,btree_free_stack,mainfile_free_stack
1,3,1000,sequential,true,insert_build,1000,15974,4464,20438,0,2000,2000,15974,6464,22438,22.438000,3105.615600,3.105616,9,31840,166166,198006,994,1000,0,0
1,3,1000,sequential,true,search_hit,1000,8015,0,8015,1000,0,1000,9015,0,9015,9.015000,1321.272100,1.321272,9,31840,166166,198006,994,1000,0,0
1,3,1000,sequential,true,search_miss,1000,9000,0,9000,0,0,0,9000,0,9000,9.000000,661.544400,0.661544,9,31840,166166,198006,994,1000,0,0
1,3,1000,sequential,true,remove_half,500,10772,2003,12775,0,1000,1000,10772,3003,13775,27.550000,1270.185700,2.540371,8,31840,166166,198006,994,1000,495,500
1,3,1000,sequential,true,reinsert_after_remove,500,9452,2242,11694,500,1000,1500,9952,3242,13194,26.388000,1442.469000,2.884938,9,31840,166166,198006,994,1000,14,0
2,3,1000,sequential,false,insert_build,1000,15974,4464,20438,0,2000,2000,15974,6464,22438,22.438000,2921.225500,2.921226,9,31840,166166,198006,994,1000,0,0
2,3,1000,sequential,false,search_hit,1000,8015,0,8015,1000,0,1000,9015,0,9015,9.015000,1263.647800,1.263648,9,31840,166166,198006,994,1000,0,0
2,3,1000,sequential,false,search_miss,1000,9000,0,9000,0,0,0,9000,0,9000,9.000000,636.672200,0.636672,9,31840,166166,198006,994,1000,0,0
2,3,1000,sequential,false,remove_half,500,10772,1002,11774,0,0,0,10772,1002,11774,23.548000,1144.290100,2.288580,8,31840,166166,198006,994,1000,0,0
2,3,1000,sequential,false,reinsert_after_remove,500,8954,2242,11196,0,1000,1000,8954,3242,12196,24.392000,1474.191500,2.948383,9,47776,249166,296942,1492,1500,0,0
3,3,1000,random,true,insert_build,1000,13818,3611,17429,0,2000,2000,13818,5611,19429,19.429000,2804.665800,2.804666,8,23520,166166,189686,734,1000,0,0
3,3,1000,random,true,search_hit,1000,7274,0,7274,1000,0,1000,8274,0,8274,8.274000,1283.676100,1.283676,8,23520,166166,189686,734,1000,0,0
3,3,1000,random,true,search_miss,1000,8000,0,8000,0,0,0,8000,0,8000,8.000000,634.373900,0.634374,8,23520,166166,189686,734,1000,0,0
3,3,1000,random,true,remove_half,500,9124,2162,11286,0,1000,1000,9124,3162,12286,24.572000,1281.802400,2.563605,7,23520,166166,189686,734,1000,428,500
3,3,1000,random,true,reinsert_after_remove,500,8743,2240,10983,500,1000,1500,9243,3240,12483,24.966000,1454.525900,2.909052,9,28480,166166,194646,889,1000,0,0
4,3,1000,random,false,insert_build,1000,14306,3695,18001,0,2000,2000,14306,5695,20001,20.001000,2929.163100,2.929163,8,24320,166166,190486,759,1000,0,0
4,3,1000,random,false,search_hit,1000,7249,0,7249,1000,0,1000,8249,0,8249,8.249000,1215.770700,1.215771,8,24320,166166,190486,759,1000,0,0
4,3,1000,random,false,search_miss,1000,8000,0,8000,0,0,0,8000,0,8000,8.000000,604.146100,0.604146,8,24320,166166,190486,759,1000,0,0
4,3,1000,random,false,remove_half,500,9175,1509,10684,0,0,0,9175,1509,10684,21.368000,1167.298100,2.334596,7,24320,166166,190486,759,1000,0,0
4,3,1000,random,false,reinsert_after_remove,500,8252,2240,10492,0,1000,1000,8252,3240,11492,22.984000,1460.759500,2.921519,9,40256,249166,289422,1257,1500,0,0
5,3,10000,sequential,true,insert_build,10000,227262,44959,272221,0,20000,20000,227262,64959,292221,29.222100,37850.374600,3.785037,13,319872,1660166,1980038,9995,10000,0,0
5,3,10000,sequential,true,search_hit,1000,13000,0,13000,1000,0,1000,14000,0,14000,14.000000,1591.841300,1.591841,13,319872,1660166,1980038,9995,10000,0,0
5,3,10000,sequential,true,search_miss,1000,13000,0,13000,0,0,0,13000,0,13000,13.000000,858.241900,0.858242,13,319872,1660166,1980038,9995,10000,0,0
5,3,10000,sequential,true,remove_half,5000,140010,20009,160019,0,10000,10000,140010,30009,170019,34.003800,15941.397500,3.188279,12,319872,1660166,1980038,9995,10000,4996,5000
5,3,10000,sequential,true,reinsert_after_remove,5000,128376,22492,150868,5000,10000,15000,133376,32492,165868,33.173600,17803.714800,3.560743,13,319872,1660166,1980038,9995,10000,62,0
6,3,10000,sequential,false,insert_build,10000,227262,44959,272221,0,20000,20000,227262,64959,292221,29.222100,34932.678900,3.493268,13,319872,1660166,1980038,9995,10000,0,0
6,3,10000,sequential,false,search_hit,1000,13000,0,13000,1000,0,1000,14000,0,14000,14.000000,1506.895300,1.506895,13,319872,1660166,1980038,9995,10000,0,0
6,3,10000,sequential,false,search_miss,1000,13000,0,13000,0,0,0,13000,0,13000,13.000000,842.627800,0.842628,13,319872,1660166,1980038,9995,10000,0,0
6,3,10000,sequential,false,remove_half,5000,140010,10004,150014,0,0,0,140010,10004,150014,30.002800,14131.921300,2.826384,12,319872,1660166,1980038,9995,10000,0,0
6,3,10000,sequential,false,reinsert_after_remove,5000,123378,22492,145870,0,10000,10000,123378,32492,155870,31.174000,18146.841100,3.629368,13,479808,2490166,2969974,14993,15000,0,0
7,3,10000,random,true,insert_build,10000,196958,36499,233457,0,20000,20000,196958,56499,253457,25.345700,33282.518600,3.328252,11,237376,1660166,1897542,7417,10000,0,0
7,3,10000,random,true,search_hit,1000,10228,0,10228,1000,0,1000,11228,0,11228,11.228000,1459.466500,1.459467,11,237376,1660166,1897542,7417,10000,0,0
7,3,10000,random,true,search_miss,1000,11000,0,11000,0,0,0,11000,0,11000,11.000000,825.144100,0.825144,11,237376,1660166,1897542,7417,10000,0,0
7,3,10000,random,true,remove_half,5000,122429,22087,144516,0,10000,10000,122429,32087,154516,30.903200,15792.341500,3.158468,10,237376,1660166,1897542,7417,10000,84,5000
7,3,10000,random,true,reinsert_after_remove,5000,116971,22493,139464,5000,10000,15000,121971,32493,154464,30.892800,17828.851500,3.565770,12,281920,1660166,1942086,8809,10000,0,0
8,3,10000,random,false,insert_build,10000,196556,36582,233138,0,20000,20000,196556,56582,253138,25.313800,36146.667200,3.614667,11,238336,1660166,1898502,7447,10000,0,0
8,3,10000,random,false,search_hit,1000,10199,0,10199,1000,0,1000,11199,0,11199,11.199000,1452.407800,1.452408,11,238336,1660166,1898502,7447,10000,0,0
8,3,10000,random,false,search_miss,1000,11000,0,11000,0,0,0,11000,0,11000,11.000000,749.109000,0.749109,11,238336,1660166,1898502,7447,10000,0,0
8,3,10000,random,false,remove_half,5000,122606,14949,137555,0,0,0,122606,14949,137555,27.511000,14662.998000,2.932600,11,238336,1660166,1898502,7447,10000,0,0
8,3,10000,random,false,reinsert_after_remove,5000,115936,22483,138419,0,10000,10000,115936,32483,148419,29.683800,19083.151500,3.816630,12,398176,2490166,2888342,12442,15000,0,0
9,10,1000,sequential,true,insert_build,1000,7308,1933,9241,0,2000,2000,7308,3933,11241,11.241000,4197.819600,4.197820,4,28768,166166,194934,247,1000,0,0
9,10,1000,sequential,true,search_hit,1000,3757,0,3757,1000,0,1000,4757,0,4757,4.757000,1884.910800,1.884911,4,28768,166166,194934,247,1000,0,0
9,10,1000,sequential,true,search_miss,1000,4000,0,4000,0,0,0,4000,0,4000,4.000000,985.199900,0.985200,4,28768,166166,194934,247,1000,0,0
9,10,1000,sequential,true,remove_half,500,4872,872,5744,0,1000,1000,4872,1872,6744,13.488000,1654.706700,3.309413,4,28768,166166,194934,247,1000,124,500
9,10,1000,sequential,true,reinsert_after_remove,500,4124,972,5096,500,1000,1500,4624,1972,6596,13.192000,1724.955500,3.449911,4,28768,166166,194934,247,1000,0,0
10,10,1000,sequential,false,insert_build,1000,7308,1933,9241,0,2000,2000,7308,3933,11241,11.241000,3512.984200,3.512984,4,28768,166166,194934,247,1000,0,0
10,10,1000,sequential,false,search_hit,1000,3757,0,3757,1000,0,1000,4757,0,4757,4.757000,1463.670800,1.463671,4,28768,166166,194934,247,1000,0,0
10,10,1000,sequential,false,search_miss,1000,4000,0,4000,0,0,0,4000,0,4000,4.000000,822.360600,0.822361,4,28768,166166,194934,247,1000,0,0
10,10,1000,sequential,false,remove_half,500,4872,624,5496,0,0,0,4872,624,5496,10.992000,1471.771900,2.943544,4,28768,166166,194934,247,1000,0,0
10,10,1000,sequential,false,reinsert_after_remove,500,4000,972,4972,0,1000,1000,4000,1972,5972,11.944000,1768.558700,3.537117,4,43152,249166,292318,371,1500,0,0
11,10,1000,random,true,insert_build,1000,6806,1638,8444,0,2000,2000,6806,3638,10444,10.444000,3340.127600,3.340128,4,19604,166166,185770,168,1000,0,0
11,10,1000,random,true,search_hit,1000,3836,0,3836,1000,0,1000,4836,0,4836,4.836000,1441.641300,1.441641,4,19604,166166,185770,168,1000,0,0
11,10,1000,random,true,search_miss,1000,4000,0,4000,0,0,0,4000,0,4000,4.000000,786.930200,0.786930,4,19604,166166,185770,168,1000,0,0
11,10,1000,random,true,remove_half,500,4862,1107,5969,0,1000,1000,4862,2107,6969,13.938000,1623.311700,3.246623,4,19604,166166,185770,168,1000,96,500
11,10,1000,random,true,reinsert_after_remove,500,4066,965,5031,500,1000,1500,4566,1965,6531,13.062000,2054.946800,4.109894,4,26100,166166,192266,224,1000,0,0
12,10,1000,random,false,insert_build,1000,6754,1629,8383,0,2000,2000,6754,3629,10383,10.383000,3314.549000,3.314549,4,19256,166166,185422,165,1000,0,0
12,10,1000,random,false,search_hit,1000,3839,0,3839,1000,0,1000,4839,0,4839,4.839000,1470.372800,1.470373,4,19256,166166,185422,165,1000,0,0
12,10,1000,random,false,search_miss,1000,4000,0,4000,0,0,0,4000,0,4000,4.000000,831.233200,0.831233,4,19256,166166,185422,165,1000,0,0
12,10,1000,random,false,remove_half,500,4939,1024,5963,0,0,0,4939,1024,5963,11.926000,1512.482400,3.024965,4,19256,166166,185422,165,1000,0,0
12,10,1000,random,false,reinsert_after_remove,500,4000,972,4972,0,1000,1000,4000,1972,5972,11.944000,1769.139000,3.538278,4,33640,249166,282806,289,1500,0,0
13,10,10000,sequential,true,insert_build,10000,102438,19476,121914,0,20000,20000,102438,39476,141914,14.191400,42667.628900,4.266763,6,289652,1660166,1949818,2496,10000,0,0
13,10,10000,sequential,true,search_hit,1000,6000,0,6000,1000,0,1000,7000,0,7000,7.000000,1965.784700,1.965785,6,289652,1660166,1949818,2496,10000,0,0
13,10,10000,sequential,true,search_miss,1000,6000,0,6000,0,0,0,6000,0,6000,6.000000,1157.230200,1.157230,6,289652,1660166,1949818,2496,10000,0,0
13,10,10000,sequential,true,remove_half,5000,65009,8758,73767,0,10000,10000,65009,18758,83767,16.753400,19552.556800,3.910511,5,289652,1660166,1949818,2496,10000,1247,5000
13,10,10000,sequential,true,reinsert_after_remove,5000,57190,9748,66938,5000,10000,15000,62190,19748,81938,16.387600,24856.347700,4.971270,6,289652,1660166,1949818,2496,10000,0,0
